model number,number layers, number nodes, mean error, mean enzyme error, score
1,22,292,0.20017326140918,0.438470056719056,0.638643318128236
2,18,316,0.203767006458773,0.481244023063568,0.685011029522341
3,18,263,0.206061939264608,0.435222677736499,0.641284617001106
4,24,295,0.243168325056107,0.510834544914921,0.754002869971027
5,18,270,0.233017556883722,0.495921849393931,0.728939406277653
6,18,294,0.227087151578889,0.555271841648075,0.782358993226964
7,22,298,0.211487551411224,0.494694358703732,0.706181910114956
8,18,310,0.232458135894295,0.507430299905305,0.7398884357996
9,20,270,0.229949785314704,0.467919052248376,0.69786883756308
10,18,261,0.229190262513671,0.487584504599866,0.716774767113536
11,26,301,0.249041683677578,0.517677144804532,0.766718828482111
12,20,295,0.217509090484334,0.495418050749863,0.712927141234197
13,20,319,0.217610594932346,0.481573569910235,0.699184164842581
14,34,317,0.203869003940205,0.480442054658754,0.684311058598958
15,20,279,0.218265151405956,0.512113818804252,0.730378970210208
16,30,302,0.21286699678324,0.447358103305484,0.660225100088723
17,18,260,0.224414364129352,0.473420696540159,0.697835060669511
18,18,264,0.228955067863696,0.520238368601242,0.749193436464938
19,20,286,0.243045694389318,0.554046198563986,0.797091892953304
20,20,263,0.243226444658492,0.549939044011493,0.793165488669985
21,22,280,0.226408795800285,0.484200216794353,0.710609012594638
22,20,286,0.227744740216867,0.485426594771386,0.713171334988253
23,18,255,0.195741493047123,0.442637710229965,0.638379203277088
24,20,280,0.208363088194514,0.476400132285075,0.684763220479589
25,20,309,0.193667509076129,0.433286349574801,0.62695385865093
26,20,312,0.212696132840805,0.541448186624328,0.754144319465133
27,22,251,0.240778213781908,0.497828825575648,0.738607039357556
28,18,276,0.239466079630355,0.456355935630792,0.695822015261146
29,24,292,0.234492302715526,0.532918646415339,0.767410949130865
30,28,310,0.234563737688619,0.477297948314993,0.711861686003612
31,26,297,0.208881679763833,0.418187087495596,0.627068767259429
32,24,271,0.168682587574781,0.420036795047177,0.588719382621958
1.2,22,292,0.179325222462649,0.335770606106577,0.515095828569227
2.2,18,316,0.174663553942865,0.38889942747359,0.563562981416455
3.2,18,263,0.174496108894853,0.350635910356007,0.525132019250859
5.2,18,270,0.238752259631465,0.471092722598998,0.709844982230463
6.2,18,294,0.21431241446097,0.439193521660731,0.653505936121701
7.2,22,298,0.215683026378869,0.474873811681115,0.690556838059984
9.2,20,270,0.215722666513911,0.424163757489297,0.639886424003208
10.2,18,261,0.231099667262271,0.44985963250751,0.680959299769781
11.2,26,301,0.216688803632839,0.414102654110756,0.630791457743595
12.2,20,295,0.218116760215489,0.443377163929059,0.661493924144548
13.2,20,319,0.231362670504856,0.436699873905426,0.668062544410282
14.2,34,317,0.181538293567393,0.375553490310121,0.557091783877513
15.2,20,279,0.22242045388773,0.451478123413396,0.673898577301126
16.2,30,302,0.227518404033927,0.420148537174828,0.647666941208755
17.2,18,260,0.228373727236789,0.400632326696645,0.629006053933435
18.2,18,264,0.214404512565029,0.464615321958893,0.679019834523921
19.2,20,286,0.249293242118669,0.49510462522601,0.744397867344679
20.2,20,263,0.252716520183312,0.524253792048904,0.776970312232216
21.2,22,280,0.212437585501298,0.417611350604384,0.630048936105682
22.2,20,286,0.211652804257366,0.390597846528582,0.602250650785948
23.2,18,255,0.196236966030018,0.395292817274351,0.591529783304368
24.2,20,280,0.20930829077203,0.469025685054403,0.678333975826433
25.2,20,309,0.203463008171348,0.393212291834493,0.596675300005841
26.2,20,312,0.191399523982186,0.463647856182968,0.655047380165154
27.2,22,251,0.23945152686178,0.493119038050847,0.732570564912628
29.2,24,292,0.222123279227723,0.481090080258883,0.703213359486607
30.2,28,310,0.224340912319137,0.432969098652919,0.657310010972056
31.2,26,297,0.217347031356042,0.368699652205746,0.586046683561788
32.2,24,271,0.151676027843013,0.331388326544166,0.483064354387179
,,,,,
1.3,22,292,0.183036149148394,0.300733026212319,0.483769175360713
2.3,18,316,0.154595378640574,0.350120343892444,0.504715722533017
3.3,18,263,0.182257487599998,0.332518301612397,0.514775789212395
5.3,18,270,0.211105017519954,0.424381714193773,0.635486731713727
6.3,18,294,0.184396584143977,0.361027111920393,0.54542369606437
9.3,20,270,0.191568361502105,0.379881683598038,0.571450045100143
10.3,18,261,0.219374995588882,0.448833112597736,0.668208108186617
12.3,20,295,0.209846217504534,0.427667989872052,0.637514207376586
13.3,20,319,0.200472794332835,0.437150161163939,0.637622955496774
14.3,34,317,0.178624011495244,0.35460038309636,0.533224394591604
18.3,18,264,0.214354085076596,0.4256367566321,0.639990841708696
21.3,22,280,0.182871316259161,0.411169257130364,0.594040573389525
22.3,20,286,0.233458043004352,0.347057052657652,0.580515095662003
23.3,18,255,0.220135118363258,0.369484757604401,0.58961987596766
26.3,20,312,0.194048087137212,0.420708833418718,0.61475692055593
29.3,24,292,0.227786995692466,0.473159066946103,0.700946062638569
32.3,24,271,0.146941831498611,0.291214184838253,0.438156016336865
1.4,22,292,0.151963079306574,0.288054114050265,0.440017193356839
2.4,18,316,0.14947205224745,0.322554497280401,0.472026549527851
5.4,18,270,0.20813203928595,0.396447743618412,0.604579782904363
6.4,18,294,0.195926858933058,0.341780865266975,0.537707724200033
9.4,20,270,0.195789284119167,0.352383953477668,0.548173237596836
12.4,20,295,0.183858769782503,0.385622391929608,0.569481161712111
13.4,20,319,0.179511289369619,0.426413311852162,0.60592460122178
14.4,34,317,0.183588024081141,0.341040367907467,0.524628391988608
21.4,22,280,0.150225646983996,0.354763910181018,0.504989557165014
22.4,20,286,0.209436268537267,0.366850387114313,0.576286655651579
32.4,24,271,0.125013309219961,0.284152637876252,0.409165947096213
1.5,22,292,0.157711931622828,0.250816757373862,0.40852868899669
2.5,18,316,0.133114378023829,0.286698660212456,0.419813038236286
5.5,18,270,0.17477325025782,0.363899740770438,0.538672991028258
9.5,20,270,0.170918768208489,0.313831751941966,0.484750520150455
12.5,20,295,0.153080449678315,0.33958443670473,0.492664886383045
13.5,20,319,0.181114393354114,0.417416415044605,0.598530808398719
14.5,34,317,0.170951322106119,0.337108526869341,0.50805984897546
21.5,22,280,0.125694818652953,0.272426256501423,0.398121075154376
22.5,20,286,0.200784052793701,0.33487996895582,0.535664021749521
32.5,24,271,0.124164479755134,0.26273266820855,0.386897147963684
1.6,22,292,0.140561927554088,0.262929115624515,0.403491043178603
2.6,18,316,0.119202039320517,0.26039918136997,0.379601220690487
5.6,18,270,0.177786723396013,0.353467504043411,0.531254227439424
12.6,20,295,0.150326376942081,0.331985708300226,0.482312085242307
21.6,22,280,0.104063588283354,0.265872671353885,0.36993625963724
32.6,24,271,0.118870856855878,0.256438961241876,0.375309818097754
1.7,22,292,0.157020816075926,0.240263210974523,0.397284027050449
5.7,18,270,0.159685776162645,0.369997090789236,0.529682866951881
12.7,20,295,0.157905303287371,0.318999220989765,0.476904524277136
21.7,22,280,0.118908769477845,0.243689372593532,0.362598142071377
1.8,22,292,0.144377614721856,0.242389248049208,0.386766862771064
5.8,18,270,0.155458612781271,0.335752445594856,0.491211058376127
12.8,20,295,0.157623962447252,0.296833402070158,0.454457364517409
5.9,18,270,0.156885526158748,0.31435179612174,0.471237322280488
21.8,22,280,0.102945353374598,0.252103145396566,0.355048498771164
21.9,22,280,0.0993008143707883,0.255485239714316,0.354786054085104
33.1,22,262,0.227739848725105,0.516668079808493,0.744407928533598
34.1,18,313,0.234136072956246,0.525298103948535,0.759434176904781
35.1,20,262,0.19372753402249,0.366625459338618,0.560352993361107
36.1,20,297,0.203378980344305,0.467637345195772,0.671016325540077
37.1,26,307,0.206958999874928,0.507248013583956,0.714207013458884
38.1,22,272,0.236263198563088,0.555345903094064,0.791609101657152
39.1,22,319,0.188807516297538,0.40942586882007,0.598233385117608
40.1,18,297,0.245647117447099,0.496937701306965,0.742584818754064
41.1,26,252,0.195175550863225,0.403943886139252,0.599119437002477
42.1,22,254,0.178628409045375,0.424426009170374,0.603054418215748
43.1,18,283,0.222638800402654,0.488945162436889,0.711583962839543
44.1,18,302,0.21265104141447,0.549009841456557,0.761660882871027
45.1,24,280,0.207694594482773,0.436023991572057,0.643718586054831
46.1,32,280,0.187956763415737,0.401866874336349,0.589823637752087
47.1,20,293,0.245552061562208,0.448806182864682,0.69435824442689
48.1,18,297,0.233560340948597,0.484911300529444,0.718471641478041
49.1,18,316,0.20333700462276,0.450789149369046,0.654126153991806
50.1,20,273,0.237447356860503,0.517887537506728,0.755334894367231
51.1,18,297,0.233366850313702,0.541073811696341,0.774440662010042
52.1,18,297,0.180500931832432,0.364558648760752,0.545059580593184
53.1,24,315,0.19144696033464,0.389325518247061,0.580772478581701
54.1,30,306,0.204924370109311,0.43753994694977,0.642464317059081
55.1,20,293,0.201602764449423,0.452889739965624,0.654492504415047
56.1,18,267,0.205528769896296,0.47334044579113,0.678869215687427
57.1,20,293,0.232611449055092,0.523372407568996,0.755983856624088
58.1,24,300,0.215277671002614,0.557513882009063,0.772791553011677
59.1,20,298,0.230883928762678,0.548708251176159,0.779592179938837
60.1,20,319,0.204971286288817,0.438611447153143,0.64358273344196
61.1,18,254,0.237193331782293,0.529522202957668,0.766715534739962
62.1,26,297,0.225233029886178,0.486720749243127,0.711953779129305
63.1,32,307,0.22956159962592,0.505033407216062,0.734595006841981
64.1,22,309,0.176992957872141,0.433456140490788,0.610449098362929
65.1,20,299,0.238416039311699,0.537538690162639,0.775954729474338
66.1,18,268,0.221619513480221,0.472967962074115,0.694587475554336
67.1,22,253,0.239025649085806,0.529795832257474,0.76882148134328
68.1,18,318,0.191232163656384,0.46814800110984,0.659380164766225
69.1,22,293,0.233825660448255,0.498747282226616,0.732572942674871
33.2,22,262,0.230062148630363,0.456372263433978,0.686434412064341
34.2,18,313,0.225605694065176,0.505207558184334,0.730813252249509
35.2,20,262,0.190790438067299,0.351539703430666,0.542330141497965
36.2,20,297,0.208524419101103,0.435733524924433,0.644257944025536
37.2,26,307,0.193839516942899,0.420798651403448,0.614638168346347
38.2,22,272,0.234140011897823,0.520356253179327,0.75449626507715
39.2,22,319,0.18565924606229,0.372771087696062,0.558430333758353
40.2,18,297,0.236093712792002,0.482897056083618,0.71899076887562
41.2,26,252,0.197017800721413,0.346660684274597,0.54367848499601
42.2,22,254,0.188443653633972,0.350721987635778,0.53916564126975
43.2,18,283,0.221463347291936,0.473551860855331,0.695015208147268
44.2,18,302,0.211497277455496,0.487570478289288,0.699067755744784
45.2,24,280,0.191548244091228,0.392415255415332,0.58396349950656
46.2,32,280,0.168944472950302,0.345266956900876,0.514211429851178
47.2,20,293,0.215625556392448,0.438024221610248,0.653649778002697
48.2,18,297,0.223747153288307,0.465327347677106,0.689074500965413
49.2,18,316,0.187801900185856,0.385551006824543,0.573352907010399
50.2,20,273,0.207026008230612,0.439837552154556,0.646863560385168
51.2,18,297,0.236174543653614,0.486905703545877,0.723080247199491
52.2,18,297,0.15027629779932,0.280383194925348,0.430659492724669
53.2,24,315,0.190246184798998,0.369569548332266,0.559815733131264
54.2,30,306,0.180843402369328,0.394670590998401,0.575513993367729
55.2,20,293,0.191827500041848,0.42120300949019,0.613030509532038
56.2,18,267,0.211124342815715,0.427488625643134,0.638612968458849
57.2,20,293,0.213730186862298,0.458611736011916,0.672341922874214
58.2,24,300,0.202972681459221,0.46647857312604,0.669451254585261
59.2,20,298,0.212730437291147,0.444390349056257,0.657120786347404
60.2,20,319,0.193659340299173,0.396050354344877,0.58970969464405
61.2,18,254,0.225423801943818,0.471184831357251,0.696608633301069
62.2,26,297,0.217348857275451,0.446496863764763,0.663845721040214
63.2,32,307,0.214807770918327,0.429958564867819,0.644766335786146
64.2,22,309,0.163565052613186,0.341971126603734,0.505536179216919
65.2,20,299,0.231310412723468,0.529378185014035,0.760688597737503
66.2,18,268,0.192821730697693,0.411431944483699,0.604253675181392
67.2,22,253,0.235187148476707,0.510793799666346,0.745980948143053
68.2,18,318,0.201119033882681,0.353443715439505,0.554562749322185
69.2,22,293,0.220377905744481,0.456671399209196,0.677049304953677
,,,,,
33.3,22,262,0.231797945057088,0.423503877023645,0.655301822080733
34.3,18,313,0.244804090580296,0.468874471689879,0.713678562270175
35.3,20,262,0.194558590332432,0.344562868604117,0.539121458936549
36.3,20,297,0.215411954878584,0.423515367092122,0.638927321970706
37.3,26,307,0.20686117092287,0.387046117064038,0.593907287986908
38.3,22,272,0.245922493451135,0.506167507341922,0.752090000793058
39.3,22,319,0.198999504009726,0.353816397775951,0.552815901785677
40.3,18,297,0.254940576364972,0.448425580796417,0.703366157161389
41.3,26,252,0.207159658863531,0.325745239015278,0.532904897878809
42.3,22,254,0.181262972267229,0.326543762260697,0.507806734527926
43.3,18,283,0.233916699601514,0.457604010351054,0.691520709952568
44.3,18,302,0.225011660932206,0.47151476264389,0.696526423576096
45.3,24,280,0.187257481173819,0.365248324552939,0.552505805726758
46.3,32,280,0.177017002514721,0.325834979529898,0.502851982044619
47.3,20,293,0.227035949597566,0.410810218939053,0.637846168536619
48.3,18,297,0.235017813094956,0.450291689148806,0.685309502243763
49.3,18,316,0.201282672964295,0.359434577441372,0.560717250405667
50.3,20,273,0.204758667133721,0.374715202625448,0.579473869759169
51.3,18,297,0.241898346108478,0.464544758766905,0.706443104875383
52.3,18,297,0.15305795056297,0.262176317769963,0.415234268332934
53.3,24,315,0.195723488378535,0.349924737646374,0.545648226024909
54.3,30,306,0.186097553225944,0.376844878454809,0.562942431680753
55.3,20,293,0.203802249193382,0.400549203393328,0.60435145258671
56.3,18,267,0.213721005248311,0.421246535710918,0.634967540959229
57.3,20,293,0.215013402335644,0.421010493898333,0.636023896233977
58.3,24,300,0.214920738599428,0.377140109165735,0.592060847765163
59.3,20,298,0.219709907343427,0.393825366502534,0.613535273845962
60.3,20,319,0.194010578966273,0.364352420379104,0.558362999345377
61.3,18,254,0.232929613335626,0.433052874327391,0.665982487663017
62.3,26,297,0.229248697626362,0.424365564274207,0.653614261900569
63.3,32,307,0.234336529629301,0.395306110501114,0.629642640130416
64.3,22,309,0.166086152476477,0.290807188807681,0.456893341284158
65.3,20,299,0.240234453884563,0.508290550019031,0.748525003903594
66.3,18,268,0.202761092865403,0.370739744995201,0.573500837860604
